party1,party2,party1_wins,party2_wins,p1_when_first,p1_when_second,D_pp,majority
BSW,Volt,80,120,0.76,0.04,72,Volt
FDP,BSW,84,116,0.75,0.09,66,BSW
AfD,ÖDP,86,114,0.76,0.1,66,ÖDP
Volt,ÖDP,110,90,0.88,0.22,66,Volt
Die Linke,BSW,89,111,0.75,0.14,61,BSW
CDU/CSU,Volt,117,83,0.87,0.3,57.00000000000001,CDU/CSU
BSW,Freie Wähler,73,127,0.64,0.09,55.00000000000001,Freie Wähler
BSW,ÖDP,136,64,0.95,0.41,54,BSW
Die Linke,FDP,94,106,0.74,0.2,54,FDP
AfD,FDP,79,121,0.66,0.13,53,FDP
Freie Wähler,Volt,115,85,0.82,0.33,48.99999999999999,Freie Wähler
CDU/CSU,SPD,112,88,0.8,0.32,48.00000000000001,CDU/CSU
SPD,FDP,133,67,0.9,0.43,47,SPD
Die Linke,Volt,107,93,0.76,0.31,45,Die Linke
SPD,BSW,136,64,0.9,0.46,44,SPD
Die Linke,ÖDP,112,88,0.78,0.34,44,Die Linke
AfD,Volt,65,135,0.54,0.11,43.00000000000001,Volt
CDU/CSU,BSW,134,66,0.87,0.47,40,CDU/CSU
CDU/CSU,Bündnis 90/Die Grünen,51,149,0.44,0.07,37,Bündnis 90/Die Grünen
CDU/CSU,Freie Wähler,94,106,0.65,0.29,36.00000000000001,Freie Wähler
AfD,Die Linke,90,110,0.63,0.27,36,Die Linke
AfD,BSW,42,158,0.39,0.03,36,BSW
FDP,ÖDP,107,93,0.71,0.36,35,FDP
CDU/CSU,Die Linke,150,50,0.91,0.59,32.00000000000001,CDU/CSU
Die Linke,Freie Wähler,60,140,0.46,0.14,32,Freie Wähler
FDP,Volt,84,116,0.58,0.26,31.999999999999996,Volt
SPD,ÖDP,137,63,0.84,0.53,30.999999999999993,SPD
Freie Wähler,ÖDP,157,43,0.93,0.64,29.000000000000004,Freie Wähler
FDP,Freie Wähler,50,150,0.39,0.11,28.000000000000004,Freie Wähler
CDU/CSU,ÖDP,153,47,0.9,0.63,27,CDU/CSU
Bündnis 90/Die Grünen,Volt,169,31,0.98,0.71,27,Bündnis 90/Die Grünen
Bündnis 90/Die Grünen,Freie Wähler,157,43,0.91,0.66,25,Bündnis 90/Die Grünen
SPD,AfD,137,63,0.81,0.56,25,SPD
Bündnis 90/Die Grünen,FDP,166,34,0.94,0.72,21.999999999999996,Bündnis 90/Die Grünen
SPD,Die Linke,120,80,0.71,0.49,21.999999999999996,SPD
AfD,Freie Wähler,59,141,0.4,0.19,21.000000000000004,Freie Wähler
SPD,Volt,149,51,0.85,0.64,20.999999999999996,SPD
Bündnis 90/Die Grünen,ÖDP,180,20,1,0.8,19.999999999999996,Bündnis 90/Die Grünen
CDU/CSU,FDP,170,30,0.95,0.75,19.999999999999996,CDU/CSU
SPD,Freie Wähler,48,152,0.32,0.16,16,Freie Wähler
Bündnis 90/Die Grünen,AfD,189,11,1,0.89,10.999999999999998,Bündnis 90/Die Grünen
CDU/CSU,AfD,185,15,0.97,0.88,8.999999999999996,CDU/CSU
Bündnis 90/Die Grünen,Die Linke,186,14,0.97,0.89,7.9999999999999964,Bündnis 90/Die Grünen
SPD,Bündnis 90/Die Grünen,55,145,0.31,0.24,7.000000000000001,Bündnis 90/Die Grünen
Bündnis 90/Die Grünen,BSW,183,17,0.91,0.92,1.0000000000000009,Bündnis 90/Die Grünen
